Artist_id,Age
1,27
4,18
5,54
6,54
8,54
10,43
11,24
12,23
13,24
16,26
17,24
18,32
19,66
20,70
21,58
22,44
24,55
25,66
26,51
28,70
29,22
31,28
32,29
34,68
35,57
36,47
37,38
38,43
41,21
42,18
43,44
44,62
45,70
46,67
47,55
49,44
50,59
51,26
52,60
53,70
54,44
55,65
56,29
57,20
58,67
59,52
60,64
62,42
63,57
64,18
65,41
66,26
67,41
68,23
69,30
70,56
71,32
72,44
73,69
74,31
75,25
76,29
77,24
78,34
79,46
81,54
82,54
83,36
84,43
85,41
86,43
88,69
89,49
90,20
91,65
92,40
93,64
94,34
95,48
96,34
98,23
99,40
100,34
103,21
104,55
105,26
106,43
107,63
108,33
109,38
110,33
111,38
112,67
113,28
115,53
116,52
117,39
118,31
119,38
120,37
121,58
122,68
123,40
124,61
125,44
126,43
127,21
128,23
130,30
131,27
133,32
134,29
135,27
136,39
137,34
138,56
139,60
140,20
141,49
142,36
143,51
144,59
145,59
146,57
147,24
149,48
150,32
151,68
152,51
153,37
154,69
155,35
156,54
158,42
160,34
161,29
162,37
165,42
166,48
167,55
168,32
169,63
170,65
171,66
173,56
174,65
175,38
176,19
177,58
179,44
180,50
183,19
184,42
185,58
186,68
187,34
189,52
191,38
192,70
194,19
195,54
196,40
197,56
198,42
199,64
200,51
201,25
202,39
203,60
204,58
207,57
210,21
211,50
212,60
213,64
214,44
215,68
216,43
217,51
219,48
220,62
221,53
223,44
224,43
225,67
226,58
227,47
228,49
229,35
231,45
232,63
234,33
236,62
237,34
239,36
243,45
244,54
246,33
247,70
248,58
251,50
252,57
253,47
254,62
255,28
256,19
257,26
258,64
259,68
260,19
262,27
265,64
266,64
267,55
268,46
269,44
270,23
271,59
273,69
274,64
275,19
276,60
278,43
280,41
283,36
286,32
288,57
289,36
290,37
292,31
294,43
295,28
296,34
297,56
300,27
302,44
303,21
304,61
305,59
306,55
307,29
308,59
310,44
311,65
312,63
313,48
314,63
315,29
316,34
317,33
319,48
320,55
321,49
322,31
324,64
325,29
326,46
328,54
330,18
332,28
333,54
334,35
335,44
337,42
338,41
339,64
340,26
341,57
342,61
343,20
344,45
345,60
346,62
347,31
349,52
350,51
352,58
353,29
354,27
355,62
356,50
357,57
358,23
359,57
360,38
361,24
362,38
363,30
364,28
365,24
366,52
367,52
368,70
369,30
370,65
371,64
372,66
374,66
375,64
376,30
377,67
378,29
381,24
382,70
384,44
385,65
386,47
388,43
389,53
390,35
391,36
392,45
393,22
394,61
395,23
396,58
399,49
400,53
401,39
403,46
405,28
406,24
407,39
408,49
409,64
411,52
412,30
413,67
415,33
416,57
417,25
418,29
420,27
421,39
423,36
424,47
426,30
427,45
428,25
429,46
430,41
431,27
432,24
433,60
434,68
435,23
438,64
440,25
441,22
442,31
444,43
446,61
447,49
449,30
451,63
452,59
453,36
454,63
455,65
456,30
458,42
460,55
461,43
462,31
463,24
464,39
465,21
466,69
467,42
468,66
469,70
471,33
472,30
475,47
476,31
477,50
478,49
479,68
480,53
481,52
482,68
483,20
484,36
485,32
486,20
487,64
488,55
489,48
490,45
491,18
493,61
494,64
495,23
497,68
499,22
500,70
501,29
502,32
503,20
504,32
505,42
506,70
507,70
508,26
509,27
510,53
513,42
514,28
515,61
517,69
518,35
519,43
520,32
521,20
524,18
525,28
527,50
528,70
529,41
530,40
531,42
532,67
533,42
534,60
535,38
538,29
539,53
540,33
541,24
544,37
545,49
546,68
548,50
549,43
550,63
552,24
553,46
554,62
555,49
556,63
557,58
558,42
559,40
560,56
561,60
562,37
563,54
564,31
565,29
566,53
568,51
569,53
570,48
571,62
573,69
574,34
576,37
577,33
578,34
579,63
580,54
581,54
582,35
583,40
584,69
585,50
587,53
588,66
589,63
590,21
591,67
592,63
593,59
594,51
595,56
596,33
597,34
598,63
599,25
600,35
601,70
602,53
603,27
606,68
608,46
609,20
610,49
612,38
613,43
614,30
615,39
616,29
617,18
619,43
620,23
621,68
622,50
623,56
624,49
625,27
628,53
629,42
630,29
631,70
632,29
633,19
636,43
638,54
639,66
640,23
641,46
642,56
643,68
644,69
646,46
649,37
650,28
651,20
655,24
657,25
658,53
659,56
660,31
661,29
663,67
664,44
665,35
668,22
669,19
671,40
672,48
673,68
674,51
676,47
678,52
679,31
680,24
681,49
683,26
684,63
685,65
686,34
687,57
688,33
689,69
690,40
691,51
692,42
693,30
694,21
695,50
697,19
698,28
699,36
700,32
702,20
703,41
704,54
705,38
706,44
707,47
708,28
709,35
710,45
711,70
712,20
714,53
715,65
716,21
717,31
718,42
719,58
720,28
722,57
723,55
724,68
725,57
727,44
728,35
729,24
730,67
731,34
733,30
734,39
736,41
737,34
738,62
739,19
740,56
741,54
742,48
743,59
744,38
745,37
746,38
747,51
748,59
749,57
750,46
751,67
753,46
754,63
755,32
756,23
757,38
758,69
759,33
760,65
761,67
763,60
764,35
765,62
766,52
767,21
769,53
770,24
771,29
772,42
773,60
774,19
775,68
776,34
777,63
781,18
782,55
783,70
784,27
787,30
789,61
790,53
791,29
793,67
794,68
795,30
796,53
798,25
799,30
800,55
801,66
802,48
803,26
804,56
805,22
806,50
807,55
809,24
810,44
811,34
812,64
813,19
814,40
817,60
819,30
820,57
821,61
822,57
823,38
825,33
826,48
827,39
828,58
829,63
830,35
831,22
832,59
833,42
835,19
836,51
838,52
839,54
841,61
842,21
843,23
844,37
845,18
846,26
847,59
848,61
849,57
850,51
851,32
852,67
853,64
854,20
855,44
856,59
857,41
858,43
860,21
862,52
864,36
866,59
867,52
869,39
870,63
872,21
873,43
875,38
879,33
880,41
881,47
883,36
884,54
885,66
886,67
887,51
888,65
889,61
890,38
891,45
893,34
894,63
895,61
896,50
898,45
901,69
902,20
904,70
905,62
906,67
907,20
908,46
909,32
910,67
911,61
915,27
916,54
917,45
918,38
919,61
920,70
922,66
923,38
924,27
925,67
926,56
927,62
928,32
929,66
930,53
931,31
932,26
935,57
936,29
937,22
940,44
941,66
942,22
944,62
945,25
946,40
947,24
949,48
950,54
951,40
952,38
953,19
955,51
956,23
957,43
958,67
959,65
960,46
962,53
965,41
966,62
967,28
968,57
971,40
972,27
973,53
974,32
976,51
977,40
979,51
982,52
983,64
984,20
985,23
986,55
988,57
989,57
990,20
991,22
992,27
993,29
994,59
995,30
997,46
998,59
999,64
1002,70
1004,60
1005,39
1006,60
1007,68
1008,55
1010,42
1012,48
1014,26
1015,67
1018,59
1020,42
1022,55
1025,23
1026,36
1027,31
1028,48
1031,52
1032,62
1033,66
1034,56
1035,54
1036,19
1037,32
1038,54
1039,33
1040,61
1041,26
1042,70
1043,30
1045,38
1046,68
1047,54
1048,60
1049,64
1050,69
1051,18
1052,65
1053,24
1054,55
1055,60
1056,42
1057,28
1058,37
1059,48
1060,19
1061,61
1063,59
1064,25
1065,26
1066,30
1067,34
1068,35
1071,25
1072,40
1074,29
1075,26
1076,34
1078,49
1080,52
1081,22
1083,51
1089,27
1090,25
1091,69
1092,62
1095,62
1096,64
1098,40
1099,49
1100,42
1101,59
1102,50
1103,70
1104,65
1105,18
1107,36
1108,60
1109,34
1110,45
1111,55
1112,33
1114,42
1115,39
1117,60
1118,37
1119,47
1120,41
1121,21
1122,53
1123,67
1124,23
1126,31
1127,32
1128,50
1129,50
1130,60
1131,36
1132,62
1133,53
1135,46
1137,25
1138,70
1143,62
1145,57
1146,37
1147,44
1148,34
1149,56
1150,64
1151,70
1152,31
1153,25
1154,41
1156,65
1157,37
1158,69
1159,64
1160,49
1161,67
1162,26
1164,50
1165,43
1166,51
1167,53
1170,53
1172,59
1173,68
1174,34
1175,23
1177,42
1178,35
1179,27
1180,52
1181,68
1182,58
1183,53
1184,52
1185,53
1187,55
1188,51
1189,41
1190,42
1191,53
1192,23
1193,49
1194,65
1195,58
1196,65
1197,21
1198,66
1199,27
1200,26
1202,46
1204,61
1205,53
1206,20
1207,31
1208,58
1209,20
1210,55
1211,34
1213,32
1214,48
1215,22
1217,31
1218,65
1219,33
1220,46
1221,58
1222,46
1224,29
1225,33
1226,39
1228,70
1230,47
1232,38
1234,35
1235,59
1236,52
1237,65
1238,28
1239,62
1241,44
1242,64
1243,29
1244,27
1246,62
1247,44
1248,24
1249,28
1250,52
1252,41
1253,19
1254,66
1255,69
1256,44
1257,32
1258,54
1259,49
1261,43
1262,50
1264,61
1265,49
1266,58
1268,43
1269,20
1270,18
1271,49
1273,22
1274,56
1275,19
1276,68
1278,49
1279,59
1280,66
1281,52
1282,60
1283,34
1284,24
1288,48
1290,20
1291,60
1292,57
1294,38
1295,35
1297,34
1298,70
1299,29
1301,26
1302,37
1303,24
1304,38
1305,60
1306,34
1307,60
1308,23
1309,47
1311,48
1312,31
1313,43
1314,65
1315,31
1316,38
1317,31
1318,64
1319,22
1321,19
1322,32
1323,25
1324,46
1325,62
1326,48
1327,30
1330,60
1331,21
1332,52
1333,36
1334,63
1335,35
1336,38
1338,70
1339,26
1340,35
1341,61
1342,55
1343,18
1344,23
1346,41
1347,40
1348,57
1349,39
1350,22
1351,52
1352,37
1355,38
1356,67
1358,64
1359,54
1360,52
1362,30
1363,20
1364,70
1365,18
1366,53
1368,26
1369,50
1370,22
1371,54
1372,67
1374,69
1375,62
1377,19
1378,52
1380,30
1381,64
1382,30
1383,59
1384,32
1386,21
1387,50
1388,47
1389,62
1391,44
1392,44
1393,34
1395,46
1396,32
1397,38
1398,41
1399,50
1400,57
1401,43
1402,51
1403,22
1404,68
1406,51
1407,51
1408,43
1410,40
1411,20
1412,47
1413,28
1414,24
1415,32
1417,55
1418,62
1419,28
1420,59
1421,39
1422,52
1423,50
1424,58
1425,57
1426,41
1427,69
1428,29
1429,64
1431,53
1432,42
1434,32
1435,24
1436,66
1437,49
1438,46
1440,49
1441,19
1442,30
1443,23
1444,38
1445,65
1446,30
1447,63
1448,46
1450,50
1451,41
1453,27
1454,19
1455,42
1457,62
1458,28
1459,27
1460,36
1461,44
1462,60
1463,20
1464,61
1465,30
1467,18
1468,45
1469,63
1470,47
1472,26
1473,29
1474,49
1475,61
1476,55
1477,52
1478,40
1479,66
1480,63
1481,27
1484,22
1485,38
1486,62
1488,30
1489,52
1490,43
1491,52
1493,29
1496,21
1497,20
1498,49
1499,42
1500,65
1501,29
1502,65
1503,49
1504,66
1505,46
1506,28
1507,33
1508,57
1509,47
1510,30
1511,50
1512,40
1515,59
1516,32
1518,59
1519,62
1520,64
1521,32
1522,22
1523,53
1524,61
1525,28
1526,59
1527,46
1528,48
1529,56
1531,64
1533,50
1534,40
1535,21
1536,49
1537,37
1538,51
1539,68
1540,68
1541,63
1542,57
1543,52
1544,65
1545,32
1546,26
1547,39
1548,39
1549,41
1550,42
1552,39
1554,21
1556,31
1558,34
1559,57
1560,39
1561,52
1562,57
1563,56
1565,52
1566,18
1568,50
1570,60
1571,38
1572,31
1574,39
1575,41
1576,23
1579,51
1580,35
1581,26
1582,27
1583,30
1584,35
1585,18
1586,61
1587,69
1588,26
1589,55
1590,46
1591,65
1592,32
1593,66
1594,55
1595,23
1596,32
1597,67
1598,24
1599,24
1601,30
1602,68
1603,58
1604,39
1605,24
1606,57
1607,30
1608,57
1609,21
1610,51
1611,48
1612,38
1613,60
1614,28
1615,33
1616,52
1617,67
1618,63
1619,36
1620,28
1623,56
1624,54
1625,33
1626,29
1627,39
1628,67
1630,36
1631,25
1632,28
1634,46
1639,29
1640,25
1641,53
1642,43
1645,55
1646,18
1647,48
1648,44
1651,55
1652,58
1653,42
1655,66
1656,61
1657,38
1658,40
1659,69
1660,24
1661,55
1662,69
1663,38
1666,65
1667,59
1669,54
1671,40
1672,35
1674,70
1675,51
1676,24
1677,53
1678,48
1679,26
1680,41
1681,25
1682,21
1683,59
1685,37
1686,61
1688,40
1690,25
1691,54
1692,35
1693,65
1694,60
1695,52
1696,26
