User_id,Skip_limit_per_hr,Ads_enabled
2,6,True
5,6,True
6,3,True
11,6,True
14,3,True
17,5,True
18,5,True
19,3,True
21,6,True
24,5,True
25,3,True
27,6,True
29,5,True
30,3,True
32,6,True
34,6,True
35,3,True
38,6,True
39,5,True
42,3,True
44,6,True
48,6,True
50,6,True
51,6,True
54,6,True
55,3,True
57,5,True
62,5,True
65,3,True
67,6,True
69,5,True
77,5,True
79,5,True
80,6,True
85,3,True
86,5,True
87,3,True
89,5,True
91,3,True
93,6,True
102,6,True
114,6,True
116,3,True
120,6,True
121,6,True
122,5,True
125,3,True
126,3,True
127,5,True
130,6,True
133,5,True
137,6,True
139,3,True
140,6,True
141,5,True
145,6,True
146,5,True
148,6,True
149,3,True
150,3,True
151,3,True
158,6,True
163,5,True
172,3,True
173,5,True
174,3,True
175,3,True
178,3,True
179,3,True
181,5,True
185,5,True
186,6,True
189,5,True
190,6,True
192,5,True
193,5,True
194,3,True
196,6,True
199,3,True
200,5,True
201,5,True
202,3,True
203,6,True
211,5,True
212,5,True
213,3,True
214,5,True
222,5,True
230,5,True
232,6,True
233,5,True
237,5,True
238,5,True
240,3,True
242,5,True
248,6,True
250,5,True
252,5,True
257,6,True
259,5,True
263,3,True
264,6,True
265,5,True
266,3,True
273,5,True
278,6,True
280,3,True
283,6,True
287,5,True
288,5,True
290,3,True
291,3,True
294,5,True
295,6,True
299,5,True
300,5,True
302,5,True
303,6,True
305,6,True
309,5,True
312,3,True
314,6,True
317,5,True
318,5,True
319,5,True
321,3,True
325,6,True
326,5,True
327,6,True
328,5,True
330,5,True
331,6,True
334,3,True
335,3,True
337,6,True
343,6,True
350,5,True
351,5,True
354,6,True
355,6,True
356,6,True
360,3,True
361,3,True
362,3,True
365,6,True
366,6,True
370,5,True
373,3,True
375,3,True
376,3,True
377,3,True
381,6,True
382,5,True
385,5,True
386,5,True
387,6,True
393,3,True
394,6,True
397,3,True
398,6,True
399,5,True
401,5,True
402,5,True
405,5,True
407,3,True
410,6,True
412,3,True
415,6,True
416,5,True
418,5,True
419,5,True
420,6,True
424,5,True
425,3,True
426,3,True
427,3,True
428,6,True
429,3,True
431,5,True
436,6,True
437,5,True
440,6,True
444,3,True
445,5,True
451,5,True
452,6,True
455,5,True
456,3,True
457,6,True
458,5,True
462,6,True
464,5,True
467,3,True
468,3,True
475,3,True
476,3,True
477,5,True
478,3,True
483,6,True
484,5,True
486,3,True
490,6,True
491,5,True
492,6,True
494,5,True
495,6,True
497,3,True
500,6,True
502,6,True
505,5,True
507,5,True
508,3,True
509,6,True
510,6,True
511,6,True
516,6,True
517,3,True
523,5,True
524,6,True
526,3,True
528,3,True
529,3,True
531,3,True
533,3,True
535,5,True
538,3,True
539,5,True
548,6,True
549,6,True
555,5,True
558,5,True
561,6,True
562,3,True
572,6,True
573,3,True
574,3,True
576,5,True
578,5,True
580,6,True
582,6,True
583,5,True
586,6,True
587,5,True
590,5,True
595,6,True
596,3,True
597,3,True
606,5,True
607,6,True
608,3,True
613,5,True
615,5,True
616,6,True
618,6,True
623,5,True
625,3,True
626,6,True
627,6,True
628,6,True
629,3,True
631,3,True
632,5,True
633,6,True
636,3,True
638,3,True
639,6,True
640,3,True
645,5,True
648,3,True
654,3,True
658,5,True
661,6,True
665,3,True
667,5,True
669,6,True
671,5,True
679,3,True
680,5,True
681,3,True
682,6,True
683,6,True
684,5,True
689,3,True
694,6,True
695,5,True
698,6,True
703,6,True
704,3,True
709,6,True
711,6,True
714,3,True
720,6,True
721,6,True
723,3,True
728,3,True
730,6,True
732,6,True
733,6,True
741,6,True
742,5,True
743,6,True
745,3,True
751,3,True
753,3,True
761,3,True
762,6,True
764,6,True
766,5,True
770,6,True
771,3,True
772,6,True
773,5,True
775,6,True
776,6,True
777,3,True
789,5,True
790,6,True
791,6,True
793,5,True
796,6,True
798,5,True
800,5,True
801,3,True
803,6,True
805,5,True
808,5,True
810,5,True
811,3,True
814,6,True
817,3,True
818,3,True
820,5,True
824,5,True
834,5,True
836,5,True
837,3,True
839,5,True
840,6,True
841,3,True
843,5,True
844,6,True
847,5,True
849,6,True
851,5,True
859,5,True
861,3,True
863,5,True
865,6,True
872,6,True
874,3,True
878,5,True
879,3,True
880,5,True
881,3,True
884,5,True
886,5,True
892,3,True
893,3,True
896,3,True
897,3,True
899,5,True
901,5,True
902,6,True
903,5,True
910,3,True
911,3,True
912,5,True
915,6,True
916,6,True
918,5,True
919,3,True
921,3,True
922,5,True
923,6,True
925,5,True
927,5,True
929,5,True
933,5,True
935,3,True
936,3,True
940,5,True
941,6,True
943,5,True
944,3,True
945,3,True
946,6,True
950,5,True
951,3,True
958,3,True
960,5,True
962,5,True
966,6,True
970,6,True
976,6,True
977,5,True
982,5,True
985,6,True
992,3,True
994,3,True
996,5,True
